S0001,62,88,68,63,87,59,51
S0002,64,76,73,88,68,93,90
S0003,54,97,62,97,80,98,84
S0004,55,70,87,68,99,78,91
S0005,90,93,94,75,75,75,81
S0006,54,80,77,81,65,87,98
S0007,94,89,99,69,51,61,50
S0008,93,91,51,61,68,85,95
S0009,76,50,87,84,71,72,50
S0010,79,92,52,50,62,60,83
S0011,57,50,87,91,68,77,56
S0012,63,84,70,85,59,92,100
S0013,88,92,89,63,62,95,53
S0014,67,99,92,68,61,93,77
S0015,56,62,55,83,65,50,54
S0016,90,73,75,78,87,80,82
S0017,65,87,99,96,77,58,97
S0018,63,57,94,74,89,61,69
S0019,55,80,50,92,53,88,80
S0020,60,75,82,68,99,98,54
S0021,97,51,62,90,81,83,64
S0022,100,74,91,97,81,78,60
S0023,58,74,91,75,58,80,82
S0024,71,85,93,95,90,50,84
S0025,73,78,83,97,94,90,60
S0026,66,57,93,73,90,56,89
S0027,51,91,68,83,62,76,95
S0028,90,72,78,55,60,98,52
S0029,92,85,91,68,56,65,99
S0030,84,99,87,70,94,71,97
S0031,70,75,100,71,59,64,58
S0032,77,59,55,96,55,75,95
S0033,93,90,76,73,63,73,94
S0034,53,100,70,68,56,72,54
S0035,74,66,52,97,99,95,91
S0036,66,57,53,94,60,74,95
S0037,85,77,52,50,54,58,61
S0038,83,75,69,91,91,93,86
S0039,91,54,58,62,95,64,69
S0040,92,63,88,98,82,59,91
S0041,91,76,77,63,56,78,72
S0042,95,94,68,83,88,67,55
S0043,50,52,73,64,61,95,70
S0044,64,90,80,67,56,81,51
S0045,92,81,74,74,99,90,71
S0046,93,91,88,56,70,65,65
S0047,50,55,68,59,86,65,60
S0048,69,87,51,56,84,74,80
S0049,96,91,78,74,56,62,72
S0050,57,99,65,56,91,89,56
